No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
1,GP053,Abon haruwan,"11,6",513,"23,7","37,0","21,3",-,"6,4",25,25,"0,5",61,"15,0",-,"0,2",-,-,-,-,-,-,-,100,Olahan,Ikan dsb,KZGMI-2001
2,GP054,Abon ikan,"6,4",435,"27,2","20,2","36,1",-,"10,1",-,-,-,-,-,-,-,-,-,-,-,"0,80","24,3",-,100,Olahan,Ikan dsb,KZGMI-2001
3,DR001,"Akar tonjong, segar","86,7",45,"1,1","0,4","10,8","1,2","1,0",72,125,"1,3",96,"1.147,1","0,02","0,2",-,83,90,"0,02","0,03","1,9",2,100,Tunggal,Sayur,KZGPI-1990
4,DR002,"Ale,toge, segar","90,6",37,"4,4","0,5","3,8","1,7","0,7",50,248,"2,0",2,"105,0","0,16","0,4",-,-,35,"0,02","0,09","0,6",46,90,Tunggal,Sayur,KZGPI-1990
5,ER001,"Alpukat, segar","84,3",85,"0,9","6,5","7,7",-,"0,6",10,20,"0,9",2,"278,0","0,20","0,4",-,189,180,"0,05","0,08","1,0",13,61,Tunggal,Buah,DABM-1964
6,AP026,Amparan tatak,"58,4",191,"1,3","5,5","34,0",-,"0,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
7,CP015,Ampas kacang hijau,"70,6",96,"3,7","0,6","19,1","2,7","0,6",133,150,"1,3",-,-,-,-,-,-,-,"0,05",-,-,-,100,Olahan,Kacang,KZGPI-1990
8,CP017,Ampas tahu kukus,"82,5",75,"4,1","2,1","10,7","5,1","0,6",203,60,"1,3",-,-,-,-,-,-,-,"0,07",-,-,-,100,Olahan,Kacang,KZGPI-1990
9,CP018,"Ampas tahu, kering","9,0",414,"26,6","18,3","41,3",-,"5,8",19,29,"4,0",45,"1.055,7","0,99","2,8",-,-,-,"0,20","0,10","0,5",-,100,Olahan,Kacang,DABM-1964
10,CP016,"Ampas tahu, mentah","84,1",67,"5,0","2,1","8,1","4,1","0,6",460,88,"1,0",8,"184,5","0,17","0,5",-,-,-,"0,06","0,02","0,1",-,100,Olahan,Kacang,KZGPI-1990
11,FR001,"Anak sapi, daging, gemuk, segar","62,0",184,"18,8","14,0",-,-,"5,2",10,200,"2,2",118,"490,1","0,17","5,8",12,37,-,"0,13","0,17","7,0",-,100,Tunggal,Daging,DABM-1964
12,FR002,"Anak sapi, daging, kurus, segar","69,0",174,"19,6","10,0",-,-,"1,4",11,201,"2,9",96,"399,8","0,14","4,8",6,30,-,"0,08","0,14","5,7",-,100,Tunggal,Daging,DABM-1964
13,FR003,"Anak sapi, daging, sedang, segar","68,0",190,"19,1","12,0",-,-,"0,9",11,193,"2,9",99,"412,7","0,14","4,9",12,83,-,"0,14","0,15","5,9",-,100,Tunggal,Daging,DABM-1964
14,DR003,"Andaliman, segar","74,2",99,"4,6","1,0","18,0","8,5","2,2",383,107,"2,9",-,-,-,-,-,-,6.300,"3,00",-,-,15,100,Tunggal,Sayur,KZGPI-1990
15,DR004,"Andewi, segar","91,8",226,"1,6","0,2","5,3","4,1","1,1",33,66,"1,0",29,"414,6","0,13","1,0",-,1.717,-,"0,14","0,09","0,5",10,80,Tunggal,Sayur,DABM-1964
16,ER002,"Anggur hutan, segar","92,3",30,"0,5","0,2","6,8","1,2","0,2",39,12,"1,1",-,-,-,-,-,-,1,"0,01",-,-,3,100,Tunggal,Buah,KZGPI-1990
17,FR004,"Angsa, daging, segar","51,1",349,"16,4","31,5",-,-,"1,0",15,188,"1,8",71,"299,2","0,26","1,7",273,-,-,"0,10","0,24","7,1",-,60,Tunggal,Daging,DABM-1964
18,DP023,"Anyang, sayur","76,9",126,"3,4","7,9","10,3","5,4","1,5",180,1,"2,9",290,"181,0","0,30","1,2",-,3.263,-,"0,20",-,-,-,100,Olahan,Sayur,KZGMI-2001
19,AP027,"Apang kukus, kue","49,5",202,"3,0","0,3","46,7",-,"0,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
20,ER003,"Apel malang, segar","85,9",57,"0,5","0,4","12,8","0,8","0,3",9,18,"0,6",4,"175,4","110,16",-,-,26,2.240,"0,05","0,03","0,1",5,88,Tunggal,Buah,KZGPI-1990
21,ER004,"Apel, segar","84,1",58,"0,3","0,4","14,9","2,6","0,3",6,10,"0,3",2,"130,0","124,20","0,3",-,30,90,"0,04","0,03","0,1",5,88,Tunggal,Buah,DABM-1964
22,AP028,"Apem, kue","63,1",148,"2,0","0,5","33,9",-,"0,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001
