,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
0,3,DR001,Akar tonjong. segar,86.7,45,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.0,,0.02,0.2,,83.0,90.0,0.02,0.03,1.9,2.0,100.0,Tunggal,Sayur,KZGPI-1990
1,4,DR002,Ale.toge. segar,90.6,37,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.0,105.0,0.16,0.4,,,35.0,0.02,0.09,0.6,46.0,90.0,Tunggal,Sayur,KZGPI-1990
2,10,CP016,Ampas tahu. mentah,84.1,67,5.0,2.1,8.1,4.1,0.6,460.0,88.0,1.0,8.0,184.5,0.17,0.5,,,,0.06,0.02,0.1,,100.0,Olahan,Kacang,KZGPI-1990
3,15,DR004,Andewi. segar,91.8,226,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.13,1.0,,1.717,,0.14,0.09,0.5,10.0,80.0,Tunggal,Sayur,DABM-1964
4,18,DP023,Anyang. sayur,76.9,126,3.4,7.9,10.3,5.4,1.5,180.0,1.0,2.9,290.0,181.0,0.3,1.2,,3.263,,0.2,,,,100.0,Olahan,Sayur,KZGMI-2001
5,20,ER003,Apel malang. segar,85.9,57,0.5,0.4,12.8,0.8,0.3,9.0,18.0,0.6,4.0,175.4,110.16,,,26.0,2.24,0.05,0.03,0.1,5.0,88.0,Tunggal,Buah,KZGPI-1990
6,21,ER004,Apel. segar,84.1,58,0.3,0.4,14.9,2.6,0.3,6.0,10.0,0.3,2.0,130.0,124.2,0.3,,30.0,90.0,0.04,0.03,0.1,5.0,88.0,Tunggal,Buah,DABM-1964
7,24,DP024,Ares. sayur,77.7,113,0.9,7.2,11.2,4.7,3.0,63.0,5.0,1.5,1.413,,0.7,3.8,,6.0,,0.1,,0.5,,100.0,Olahan,Sayur,KZGMI-2001
8,25,BR001,Arrowroot. segar,73.5,102,1.0,0.2,24.1,1.7,1.2,28.0,35.0,1.7,36.0,626.6,0.2,0.8,,15.0,,0.06,0.1,2.3,2.0,100.0,Tunggal,Umbi,KZGPI-1990
9,26,DP025,Arwan sirsir,59.0,277,2.4,25.0,10.7,4.6,2.9,120.0,40.0,2.4,240.0,320.0,0.2,0.9,,1.578,,0.1,0.2,,11.0,100.0,Olahan,Sayur,KZGMI-2001
10,27,NR001,Asam arang coklat. segar,66.1,130,0.5,1.1,30.9,1.5,1.4,79.0,113.0,4.3,13.0,,,,,745.0,,0.01,0.2,,,,Tunggal,Bumbu,KZGPI-1990
11,28,NR002,Asam arang merah. segar,75.9,99,0.8,1.6,20.3,2.8,1.4,69.0,300.0,4.6,2.0,95.7,,0.1,,529.0,,0.01,0.34,1.6,,,Tunggal,Bumbu,KZGPI-1990
12,29,NR003,Asam kandis. kering,32.2,261,0.9,1.6,63.3,5.0,2.0,192.0,657.0,4.4,26.0,341.4,0.4,0.3,,0.2,,,,0.4,,100.0,Tunggal,Bumbu,KZGPI-1990
